key_value	code	phrase	word_orth	word_SAMPA	word_ocurrence	letter_orth	consonant	segmental_context	segmental_ocurrence	monosyllable	stressed	word_initial_syllable	word_final_syllable	phrase_initial_syllable	phrase_final_syllable	lexical	inside_root
1064	S07_T15	¿Qué modelo compraron?	modelo	moDelo	1	d	d	e_o	1	0	1	0	0	0	0	1	1
1065	S07_T25	Mi mami dobló el timón a la izquierda y esquivó al camión con gran destreza.	esquivó	eskiBo	1	v	b	i_o	1	0	1	0	1	0	0	1	1
1066	S07_T26	Belinda, su amiga de toda la vida, le regaló una moneda de oro.	toda	toDa	1	d	d	o_a	1	0	0	0	1	0	0	1	1
1067	S07_T26	Belinda, su amiga de toda la vida, le regaló una moneda de oro.	moneda	moneDa	1	d	d	e_a	1	0	0	0	1	0	0	1	1
1068	S07_T26	Belinda, su amiga de toda la vida, le regaló una moneda de oro.	amiga	amiGa	1	g	g	i_a	1	0	0	0	1	0	0	1	1
1069	S07_T27	¿Belinda? ¡No, papá! Mariela me regaló la moneda.	regaló	reGalo	1	g	g	e_a	1	0	0	0	0	0	0	1	1
1070	S07_T28	Belinda nos regaló la lavadora.	regaló	reGalo	1	g	g	e_a	1	0	0	0	0	0	0	1	1
1071	S07_T29	No fue la lavadora. La secadora nos regaló Belinda.	regaló	reGalo	1	g	g	e_a	1	0	0	0	0	0	0	1	1
1072	S07_T32	¿quién les regaló la lavadora?	regaló	reGalo	1	g	g	e_a	1	0	0	0	0	0	0	1	1
1073	S07_T33	La lavadora nos la regaló el abuelo.	regaló	reGalo	1	g	g	e_a	1	0	0	0	0	0	0	1	1
1074	S07_T34	¿esa gallina se la regaló a ustedes Mariano?	gallina	gaLina	1	g	g	a_a	1	0	0	1	0	0	0	1	1
1075	S07_TG2	Sí, sí, me gusta.	gusta	gusta	1	g	g	e_u	1	0	1	1	0	0	0	1	1
1076	S07_TG3	Cuando regresemos a Madre de Dios, conseguimos un conejo con orejas muy grandes como te gustan a ti.	gustan	gustan	1	g	g	e_u	1	0	1	1	0	0	0	1	1
1077	S08_T01	Mi amigo logra escuchar que Dora trabaja mañana, pero no escuchó cuándo trabaja Daniel.	Dora	dora	1	d	d	e_o	1	0	1	1	0	0	0	1	1
1078	S08_T01	Mi amigo logra escuchar que Dora trabaja mañana, pero no escuchó cuándo trabaja Daniel.	amigo	amiGo	1	g	g	i_o	1	0	0	0	1	0	0	1	1
1079	S08_T03	Dora trabaja mañana mientras Daniel trabaja hoy	trabaja	t4aBaxa	1	b	b	a_a	1	0	1	0	0	0	0	1	1
1080	S08_T03	Dora trabaja mañana mientras Daniel trabaja hoy	trabaja	t4aBaxa	2	b	b	a_a	1	0	1	0	0	0	0	1	1
1081	S08_T06	Dora leía la novela mientras Manuel mordía la canela	novela	noBela	1	v	b	o_e	1	0	1	0	0	0	0	1	1
1082	S08_T08	Dora leía la novela mientras Manuel mordía la canela.	novela	noBela	1	v	b	o_e	1	0	1	0	0	0	0	1	1
1083	S08_T10	¿El niño miraba la brújula mientras la víbora devoraba a quién?	víbora	biBora	1	b	b	i_o	1	0	0	0	0	0	0	1	1
1084	S08_T10	¿El niño miraba la brújula mientras la víbora devoraba a quién?	devoraba	deBo4aBa	1	d	d	a_e	1	0	0	1	0	0	0	1	1
1085	S08_T11	El niño miraba la brújula mientras la víbora devoraba al árabe	árabe	araBe	1	b	b	a_e	1	0	0	0	1	0	1	1	1
1086	S08_T12	¿Qué miraba el niño mientras la víbora devoraba al árabe?	víbora	biBora	1	b	b	i_o	1	0	0	0	0	0	0	1	1
1087	S08_T12	¿Qué miraba el niño mientras la víbora devoraba al árabe?	árabe	araBe	1	b	b	a_e	1	0	0	0	1	0	1	1	1
1088	S08_T12	¿Qué miraba el niño mientras la víbora devoraba al árabe?	devoraba	deBo4aBa	1	d	d	a_e	1	0	0	1	0	0	0	1	1
1089	S08_T13	El niño miraba la brújula mientras la víbora devoraba al árabe	víbora	biBora	1	b	b	i_o	1	0	0	0	0	0	0	1	1
1090	S08_T13	El niño miraba la brújula mientras la víbora devoraba al árabe	árabe	araBe	1	b	b	a_e	1	0	0	0	1	0	1	1	1
1091	S08_T13	El niño miraba la brújula mientras la víbora devoraba al árabe	devoraba	deBo4aBa	1	d	d	a_e	1	0	0	1	0	0	0	1	1
1092	S08_T15	¿Qué estudiaba Dora y qué miraba Daniel?	miraba	mi4aBa	1	b	b	a_a	1	0	0	0	1	0	0	1	0
1093	S08_T16	Dora estudiaba bengalí y Daniel miraba al colibrí.	miraba	mi4aBa	1	b	b	a_a	1	0	0	0	1	0	0	1	0
1094	S08_T21	¿Qué agarraba Mariana mientras Ramón miraba al guaraní?	miraba	mi4aBa	1	b	b	a_a	1	0	0	0	1	0	0	1	0
1095	S08_T23	¿Has visto que Manolo ha abierto una bodega en la esquina?	bodega	boDeGa	1	g	g	e_a	1	0	0	0	1	0	0	1	1
1096	S08_T26	Manolo vende guaraná.	vende	bende	1	v	b	o_e	1	0	1	1	0	0	0	1	1
1097	S08_T27	¿Qué robó Benigno?	robó	roBo	1	b	b	o_o	1	0	1	0	1	0	0	1	1
1098	S08_T28	Benigno robó el dinero.	robó	roBo	1	b	b	o_o	1	0	1	0	1	0	0	1	1
1099	S08_T32	También le había contado a mi amigo que en mi sueño yo vi a Emilio borrando y a Elena guardando algo.	guardando	gwarDando	1	g	g	a_u	1	0	0	1	0	0	0	1	1
1100	S08_T32	También le había contado a mi amigo que en mi sueño yo vi a Emilio borrando y a Elena guardando algo.	amigo	amiGo	1	g	g	i_o	1	0	0	0	1	0	0	1	1
1101	S08_T34	En mi sueño, Emilio borraba un número y Elena guardaba una lámina.	borraba	boraBa	1	b	b	o_o	1	0	0	1	0	0	0	1	1
1102	S08_T34	En mi sueño, Emilio borraba un número y Elena guardaba una lámina.	guardaba	gwarDaBa	1	g	g	a_u	1	0	0	1	0	0	0	1	1
1103	S08_TD1	Luego de un rato, mi amigo me dijo que se olvidó lo que leía Dora.	olvidó	olBiDo	1	d	d	i_o	1	0	1	0	1	0	0	1	1
1104	S08_TG6	Entonces yo para capturar su atención le seguí contando la aventura que pasé en mi sueño.	seguí	seGi	1	g	g	e_i	1	0	1	0	1	0	0	1	1
1105	S08_TG7	En ese momento llegó mi mamá.	llegó	LeGo	1	g	g	e_o	1	0	1	0	1	0	0	1	1
